timestamp,node,function,pod,namespace,cores,requests,limits,community
2023-03-24 12:10:08.924237,ea-k3s-node-us-east-2-3,"",metrics-database-6c5586d74-snsw2,kube-system,5,0,0,""
2023-03-24 12:10:08.92587,k3s-master,"",coredns-5b5bf59798-mvlm2,kube-system,3,0,0,""
2023-03-24 12:10:08.927412,ea-k3s-node-us-east-2-3,"",dispatcher-8flgq,default,1,0,0,""
2023-03-24 12:10:08.929175,ea-k3s-node-us-east-2-1,"",dispatcher-nxwkg,default,1,0,0,""
2023-03-24 12:10:08.930616,k3s-master,"",traefik-7f48667fb9-gvm5j,kube-system,4,0,0,""
2023-03-24 12:10:08.93335,ea-k3s-node-us-east-2-3,"",allocation-algorithm-679c5fcc65-7tj9g,default,1,500,1000,""
2023-03-24 12:10:08.934751,k3s-master,"",metrics-server-c6799cf48-b7j62,kube-system,5,0,0,""
2023-03-24 12:10:08.936457,k3s-master,"",svclb-traefik-p5jfb,kube-system,0,0,0,""
2023-03-24 12:10:08.937842,ea-k3s-node-us-east-2-2,"",dispatcher-nh54l,default,1,0,0,""
2023-03-24 12:10:09.124694,ea-k3s-node-us-east-2-3,"",delay-discovery-fh6h9,default,1,0,0,""
2023-03-24 12:10:09.324452,k3s-master,"",dispatcher-r87bf,default,1,0,0,""
2023-03-24 12:10:09.524455,ea-k3s-node-us-east-2-2,compression,compression-990cenv5,openfaas-fn,1,200,200,community-2
2023-03-24 12:10:09.724153,k3s-master,"",pod-autoscaler-76b6884b54-9xq22,kube-system,2,500,500,""
2023-03-24 12:10:09.924415,k3s-master,"",community-2-676fc9656c-g7cbh,openfaas-fn,1,200,200,""
2023-03-24 12:10:10.1245,ea-k3s-node-us-east-2-2,"",edge-system-controller-847d657d8b-hk54t,kube-system,1,100,200,""
2023-03-24 12:10:10.32456,k3s-master,"",delay-discovery-h87w8,default,0,0,0,""
2023-03-24 12:10:10.524736,k3s-master,"",flannel-fixer-deployment-5c468f87f8-cxsk8,kube-system,1,0,0,""
2023-03-24 12:10:10.724856,ea-k3s-node-us-east-2-1,"",svclb-traefik-pg94j,kube-system,0,0,0,""
2023-03-24 12:10:10.924854,ea-k3s-node-us-east-2-1,dynamic-html,dynamic-html-3uvls1y0,openfaas-fn,1,200,200,community-2
2023-03-24 12:10:11.124931,ea-k3s-node-us-east-2-3,"",workload-5cb5f8bd4d-mr4tx,default,0,0,0,""
2023-03-24 12:10:11.324315,ea-k3s-node-us-east-2-1,"",delay-discovery-94bbt,default,2,0,0,""
2023-03-24 12:10:11.524302,k3s-master,"",custom-metrics-apiserver-8586695c47-lv2mw,custom-metrics,7,200,200,""
2023-03-24 12:10:11.724732,ea-k3s-node-us-east-2-3,"",svclb-traefik-npz57,kube-system,0,0,0,""
2023-03-24 12:10:11.925242,k3s-master,"",podscale-controller-57f68c67fc-v64k8,kube-system,4,100,200,""
2023-03-24 12:10:12.12447,ea-k3s-node-us-east-2-3,"",slpa-algorithm-76cd7d9b97-mhjwp,default,1,100,200,""
2023-03-24 12:10:12.325925,k3s-master,"",monitoring-747bdc64bc-jvclv,default,0,0,0,""
2023-03-24 12:10:12.526478,k3s-master,"",local-path-provisioner-79c4646df5-tk9bc,kube-system,2,0,0,""
2023-03-24 12:10:12.726216,ea-k3s-node-us-east-2-1,thumbnailer,thumbnailer-lv7adrse,openfaas-fn,1,200,200,community-2
2023-03-24 12:10:12.92599,ea-k3s-node-us-east-2-1,compression,compression-5p5vin50,openfaas-fn,1,200,200,community-2
2023-03-24 12:10:13.126396,ea-k3s-node-us-east-2-2,dynamic-html,dynamic-html-3vsjg5pi,openfaas-fn,1,200,200,community-2
2023-03-24 12:10:13.325474,ea-k3s-node-us-east-2-2,thumbnailer,thumbnailer-aq063j4o,openfaas-fn,1,300,300,community-2
2023-03-24 12:10:13.526092,ea-k3s-node-us-east-2-2,"",svclb-traefik-jjrw2,kube-system,0,0,0,""
